"job_title","region_name","avg_salary","min_salary","max_salary","employee_count"
"senior editor","southwest","105231.40",89969,128617,"5"
"senior editor","nova scotia","91000.00",69936,113231,"5"
"senior editor","british columbia","85517.33",83256,89035,"3"
"senior editor","quebec","64429.00",59294,69564,"2"
"senior editor","northwest","62534.00",62534,62534,"1"
"senior financial analyst","quebec","148940.00",148940,148940,"1"
"senior financial analyst","southeast","138993.00",128765,149221,"2"
"senior financial analyst","british columbia","100570.00",100570,100570,"1"
"senior financial analyst","nova scotia","94049.00",94049,94049,"1"
"senior financial analyst","southwest","89347.00",68034,110660,"2"
"senior financial analyst","northeast","83067.50",78157,87978,"2"
"senior quality engineer","northwest","125115.00",125115,125115,"1"
"senior quality engineer","nova scotia","106735.00",60396,144724,"3"
"senior quality engineer","british columbia","102493.00",102493,102493,"1"
"senior quality engineer","quebec","81896.00",80813,82979,"2"
"senior quality engineer","southwest","79533.00",47994,111072,"2"
"senior quality engineer","southeast","55214.00",55214,55214,"1"
"senior sales associate","nova scotia","105322.33",77924,123843,"3"
"senior sales associate","northeast","95810.33",45534,149336,"3"
"senior sales associate","quebec","64443.00",64443,64443,"1"
"senior sales associate","southeast","62286.00",62286,62286,"1"
"social worker","northeast","123156.00",123156,123156,"1"
"social worker","northwest","122247.67",94072,142483,"3"
"social worker","nova scotia","115975.00",115975,115975,"1"
"social worker","quebec","115360.00",115360,115360,"1"
"social worker","british columbia","94916.00",93714,96118,"2"
"social worker","southwest","87285.00",42759,131811,"2"
"social worker","southeast","56923.00",56923,56923,"1"
"software consultant","northeast","125412.67",120875,134488,"3"
"software consultant","southwest","87402.25",51792,129890,"4"
"software consultant","northwest","78052.00",78052,78052,"1"
"software engineer i","nova scotia","136377.00",136377,136377,"1"
"software engineer i","northwest","60674.00",60674,60674,"1"
"software engineer ii","southwest","120226.00",120226,120226,"1"
"software engineer ii","british columbia","112048.00",112048,112048,"1"
"software engineer iii","nova scotia","106393.50",63702,149085,"2"
"software engineer iii","british columbia","42797.00",42797,42797,"1"
"software engineer iv","northwest","140996.00",140996,140996,"1"
"software test engineer i","southwest","96996.00",96996,96996,"1"
"software test engineer i","nova scotia","88377.67",66063,133007,"3"
"software test engineer i","southeast","84318.00",84318,84318,"1"
"software test engineer ii","nova scotia","90960.00",90960,90960,"1"
"software test engineer ii","quebec","49296.00",49296,49296,"1"
"software test engineer iii","southwest","59763.00",59763,59763,"1"
"software test engineer iv","southwest","140344.50",138478,142211,"2"
"software test engineer iv","british columbia","66059.00",66059,66059,"1"
"speech pathologist","northwest","148408.00",148408,148408,"1"
"speech pathologist","northeast","134390.00",119787,148993,"2"
"speech pathologist","quebec","104332.00",85647,123017,"2"
"speech pathologist","nova scotia","55730.00",55730,55730,"1"
"statistician i","southwest","135688.00",135688,135688,"1"
"statistician i","nova scotia","76086.00",76086,76086,"1"
"statistician ii","southeast","129527.00",129527,129527,"1"
"statistician ii","southwest","86446.00",86446,86446,"1"
"statistician iv","northeast","117416.50",114695,120138,"2"
"statistician iv","southeast","114124.00",113278,114970,"2"
"structural analysis engineer","northeast","142923.67",130188,149597,"3"
"structural analysis engineer","nova scotia","118736.00",98502,138970,"2"
"structural analysis engineer","northwest","104844.00",104844,104844,"1"
"structural analysis engineer","quebec","100722.00",75024,126420,"2"
"structural analysis engineer","british columbia","77293.00",77293,77293,"1"
"structural engineer","quebec","124704.00",122110,126001,"3"
"structural engineer","british columbia","116355.00",116355,116355,"1"
"structural engineer","nova scotia","87072.00",87072,87072,"1"
"structural engineer","southwest","77866.33",54672,115009,"3"
"structural engineer","southeast","67470.00",67470,67470,"1"
"systems administrator i","nova scotia","127695.00",127695,127695,"1"
"systems administrator i","southeast","126661.00",126661,126661,"1"
"systems administrator i","quebec","122269.00",97372,147166,"2"
"systems administrator ii","southeast","131392.00",131392,131392,"1"
"systems administrator ii","quebec","122446.00",122446,122446,"1"
"systems administrator ii","northwest","107407.00",107407,107407,"1"
"systems administrator iii","nova scotia","146611.00",146611,146611,"1"
"systems administrator iii","southeast","124853.00",124853,124853,"1"
"systems administrator iii","northwest","67140.00",67140,67140,"1"
"systems administrator iii","northeast","59644.00",59644,59644,"1"
"systems administrator iv","southwest","104079.00",104079,104079,"1"
"systems administrator iv","northwest","89324.00",89324,89324,"1"
"systems administrator iv","northeast","66319.00",55633,77005,"2"
"tax accountant","northeast","134931.00",134931,134931,"1"
"tax accountant","southwest","116013.00",116013,116013,"1"
"tax accountant","southeast","73686.00",73686,73686,"1"
"tax accountant","northwest","72274.00",42944,86939,"3"
"tax accountant","nova scotia","47439.00",47439,47439,"1"
"tax accountant","quebec","41898.00",41898,41898,"1"
"teacher","nova scotia","106282.00",101937,110627,"2"
"teacher","quebec","100593.50",72948,128239,"2"
"teacher","southeast","93995.00",93995,93995,"1"
"teacher","northeast","84700.33",48791,125465,"3"
"teacher","southwest","58697.00",58697,58697,"1"
"technical writer","nova scotia","138200.00",131409,144991,"2"
"technical writer","northwest","106776.60",58675,128448,"5"
"technical writer","northeast","97623.00",97623,97623,"1"
"technical writer","british columbia","79925.00",76052,83798,"2"
"technical writer","southwest","44377.00",44377,44377,"2"
"vp accounting","northeast","145575.00",145575,145575,"1"
"vp accounting","nova scotia","127463.50",121836,133091,"2"
"vp accounting","southwest","118470.00",91659,145281,"2"
"vp accounting","quebec","80442.50",63735,97150,"2"
"vp accounting","northwest","73403.67",46247,93680,"3"
"vp accounting","southeast","70524.00",70524,70524,"1"
"vp marketing","quebec","99854.00",99854,99854,"1"
"vp marketing","british columbia","84275.00",84275,84275,"1"
"vp marketing","nova scotia","75022.00",45270,104671,"3"
"vp marketing","southeast","72474.00",40418,104530,"2"
"vp product management","southwest","133612.00",133612,133612,"2"
"vp product management","british columbia","117092.00",117092,117092,"1"
"vp product management","southeast","95424.00",95424,95424,"1"
"vp product management","northwest","85534.00",42347,149598,"5"
"vp product management","quebec","80245.00",80245,80245,"1"
"vp product management","nova scotia","75397.50",59234,91561,"2"
"vp product management","northeast","60383.00",60383,60383,"1"
"vp quality control","southwest","130528.00",113354,147702,"2"
"vp quality control","southeast","120224.00",94016,146432,"2"
"vp quality control","british columbia","110629.00",99508,117105,"3"
"vp quality control","nova scotia","99768.33",75399,144639,"3"
"vp quality control","northeast","98401.00",98401,98401,"1"
"vp quality control","quebec","85951.67",47281,109828,"3"
"vp sales","northwest","108856.50",80027,137281,"4"
"vp sales","quebec","47281.00",47281,47281,"2"
"web designer i","northwest","100428.00",100428,100428,"1"
"web designer ii","southwest","125843.00",125843,125843,"1"
"web designer ii","quebec","101653.00",101653,101653,"1"
"web designer ii","southeast","86670.00",86670,86670,"1"
"web designer ii","northeast","69454.00",69454,69454,"1"
"web designer iii","northeast","120577.00",120577,120577,"1"
"web designer iii","southeast","66063.00",66063,66063,"1"
"web developer i","nova scotia","121378.00",121378,121378,"1"
"web developer i","southeast","101945.00",101945,101945,"1"
"web developer i","southwest","101414.50",57988,144841,"2"
"web developer i","northeast","94596.00",94596,94596,"1"
"web developer ii","northeast","143433.00",143433,143433,"1"
"web developer ii","northwest","107207.00",107207,107207,"1"
"web developer iii","northwest","143846.00",143846,143846,"1"
"web developer iii","northeast","117703.50",106659,128748,"2"
"web developer iii","quebec","79463.00",69246,89680,"2"
"web developer iv","quebec","131655.00",131273,132037,"2"
